task_id,task_status,kind,phase,attempt,path,started_epoch,search_status,status,finished_epoch,error,timing_policy_superseded
pilot-M7-all5-LP-CUT-CG-stall-recovery,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-LP-CUT-CG-stall-recovery\attempt-01,1789182235.659507,time_limit,complete,1789182942.0822601,,
model-validation,complete,validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\model-validation\attempt-01,1789109266.1807184,,complete,1789109315.4580412,,
pilot-M7-no5-SDP-CG,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-CG\attempt-01,1789109315.4590418,time_limit,complete,1789109989.7988675,,
features-M7-no5,complete,features,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\features-M7-no5\attempt-01,1789109989.7988675,,complete,1789110101.3515027,,
full-validation-M7-no5,complete,full-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\full-validation-M7-no5\attempt-01,1789110101.3554974,,complete,1789110117.4709773,,
owned-native-validation-v1,complete,owned-native-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\owned-native-validation-v1\attempt-01,1789221561.9512002,,failed,1789221563.21361,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\owned-native-validation-v1\\attempt-01; see process.log'),
owned-native-validation-v1,complete,owned-native-validation,,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\owned-native-validation-v1\attempt-02,1789221659.3521478,,complete,1789221660.4070022,,
native-packed-M7-no5-v1,complete,native-packed-features,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\native-packed-M7-no5-v1\attempt-01,1789221660.4139938,,complete,1789221753.8538456,,
full-adapter-validation-M7-no5-v1,complete,full-adapter-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\full-adapter-validation-M7-no5-v1\attempt-01,1789221753.8605776,,complete,1789221778.0060623,,
native-packed-M7-all5-v1,complete,native-packed-features,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\native-packed-M7-all5-v1\attempt-01,1789221778.0130515,,complete,1789222073.2842178,,
full-adapter-validation-M7-all5-v1,complete,full-adapter-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\full-adapter-validation-M7-all5-v1\attempt-01,1789222073.293136,,complete,1789222093.4277267,,
pilot-M7-no5-LP-CUT,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-LP-CUT\attempt-01,1789110117.4709773,,failed,1789110118.5308707,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-LP-CUT\\attempt-01; see process.log'),
pilot-M7-no5-LP-CUT,complete,search,pilot,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-LP-CUT\attempt-02,1789182942.0923157,,failed,1789183053.702994,RuntimeError('memory_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-LP-CUT\\attempt-02; see process.log'),
pilot-M7-no5-LP-CUT,complete,search,pilot,3,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-LP-CUT\attempt-03,1789222093.440016,time_limit,complete,1789222786.6352172,,
owned-native-validation-v2,complete,owned-native-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\owned-native-validation-v2\attempt-01,1789227194.922314,,complete,1789227196.9770253,,
owned-native-validation-v3,complete,owned-native-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\owned-native-validation-v3\attempt-01,1789249380.144238,,complete,1789249382.22167,,
lp-recycle-validation-v3,complete,lp-recycle-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\lp-recycle-validation-v3\attempt-01,1789249382.227982,,complete,1789249383.2766972,,
no5-lp-memory-validation-v4,complete,no5-lp-memory-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\no5-lp-memory-validation-v4\attempt-01,1789259348.0064254,,complete,1789259349.0656748,,
owned-native-validation-v4,complete,owned-native-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\owned-native-validation-v4\attempt-01,1789259349.0686653,,complete,1789259352.133718,,
pilot-M7-no5-LP-CUT-memory-v4,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-LP-CUT-memory-v4\attempt-01,1789259352.133718,time_limit,complete,1789263024.7263145,,
pilot-M7-no5-SDP-FULL,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-FULL\attempt-01,1789110118.5328727,,failed,1789110119.5746944,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-SDP-FULL\\attempt-01; see process.log'),
pilot-M7-no5-SDP-FULL,complete,search,pilot,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-FULL\attempt-02,1789183053.702994,,failed,1789183071.8619525,RuntimeError('memory_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-SDP-FULL\\attempt-02; see process.log'),
pilot-M7-no5-SDP-FULL,complete,search,pilot,3,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-FULL\attempt-03,1789222786.6352172,,failed,1789223448.7942195,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-SDP-FULL\\attempt-03; see process.log'),
pilot-M7-no5-SDP-FULL,complete,search,pilot,4,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-FULL\attempt-04,1789227196.9841695,,failed,1789230858.8162267,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-SDP-FULL\\attempt-04; see process.log'),
pilot-M7-no5-SDP-FULL,complete,search,pilot,5,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-FULL\attempt-05,1789249383.2847383,,failed,1789253045.107343,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-SDP-FULL\\attempt-05; see process.log'),
pilot-M7-no5-SDP-FULL,complete,search,pilot,6,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-SDP-FULL\attempt-06,1789263024.7263145,time_limit,complete,1789266664.4312701,,
pilot-M7-all5-SDP-CG,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-CG\attempt-01,1789110119.5766933,time_limit,complete,1789110786.3902235,,True
pilot-M7-all5-SDP-CG,complete,search,pilot,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-CG\attempt-02,1789183071.8641052,time_limit,complete,1789183509.289894,,
features-M7-all5,complete,features,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\features-M7-all5\attempt-01,1789110786.3902235,,complete,1789110919.9865577,,
full-validation-M7-all5,complete,full-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\full-validation-M7-all5\attempt-01,1789110919.9885511,,complete,1789110940.1141546,,
