task_id,model,method,repetition,phase,target_seconds,status,bound_fraction,bound_numerator,bound_denominator,bound_decimal,factors,integer_entries,raw_count,certificate_path,certificate_sha256,source_dual_sha256,factorization,verification_seconds,independent_full_scans_agree,formalized_in_Lean,verification_reused,candidate_available_seconds,numerical_upper,retrospective_certification_seconds,exact_bound_fraction,exact_bound_decimal
reference-M6-SDP-FULL-1h,M6,SDP-FULL,1,reference,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
reference-M6-SDP-FULL-1h,M6,SDP-FULL,1,reference,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
reference-M6-SDP-FULL-1h,M6,SDP-FULL,1,reference,900,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
reference-M6-SDP-FULL-1h,M6,SDP-FULL,1,reference,1800,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
reference-M6-SDP-FULL-1h,M6,SDP-FULL,1,reference,3600,verified,404395939151293/720000000000000,404395939151293,720000000000000,0.5616610265990181,84,3989,964,<repo>\.research-repro\section6-complete-20260911-01\jobs\reference-M6-SDP-FULL-1h\attempt-01\exact\final-svd\certificate.json,7caa7e189f521e1fbfb6d65a2c8c50e759df297aa836a5a42dfad7006a7d09e2,ea35ec59451117909ebfe78ad48be3cb0dcee4ab75d147b6fc999ab85e33bd56,svd,2.0725667476654053,True,False,True,3595.219000000012,0.5616609456927959,3597.2915667476773,,
production-M7-no5-SDP-FULL-rep-01,M7-no5,SDP-FULL,1,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-01,M7-no5,SDP-FULL,1,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-01,M7-no5,SDP-FULL,1,production,900,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-01,M7-no5,SDP-FULL,1,production,1800,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-01,M7-no5,SDP-FULL,1,production,3600,verified,86174701163427/140000000000000,86174701163427,140000000000000,0.6155335797387643,339,49161,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-FULL-rep-01\attempt-01\exact\final-svd\certificate.json,b80b6a0d31c3f6c08d130ff6facfebc90134cdab2f8acfd2104c7aee0671e07b,36015ada1162585b1ef445e66da091240e2357998f9b16bbf08f0341f2d3a161,svd,74.32211709022522,True,False,True,3533.0780000000377,0.6155335527261638,3607.400117090263,,
production-M7-all5-SDP-FULL-rep-01,M7-all5,SDP-FULL,1,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-01,M7-all5,SDP-FULL,1,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-01,M7-all5,SDP-FULL,1,production,900,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-01,M7-all5,SDP-FULL,1,production,1800,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-01,M7-all5,SDP-FULL,1,production,3600,verified,345659032063647/560000000000000,345659032063647,560000000000000,0.6172482715422268,8687,5662015,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-FULL-rep-01\attempt-01\exact\final-svd\certificate.json,40297a0474728086bdf768514b30c644c8ffe34fceb2bec03da745cd6941ddfc,0b30750b12b1c98cf122cead4b5016c3d571671fe37a0898578eb9d97d620d36,svd,102.45240783691406,True,False,True,3404.219000000041,0.6172482548460474,3506.671407836955,,
production-M7-all5-SDP-CG-rep-01,M7-all5,SDP-CG,1,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-CG-rep-01,M7-all5,SDP-CG,1,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-CG-rep-01,M7-all5,SDP-CG,1,production,900,verified,2493688198023/2500000000000,2493688198023,2500000000000,0.9974752792092,331,83245,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-01\attempt-02\exact\0900-svd\certificate.json,9ed753e8fc9f999cd765e314d32454b07198584dd7b98010074a77b64aebd463,fc64c65da6a2c8a9dd0c171f4e68bf248b05fbb07ff93df601b44d6d92f3fbcf,svd,86.3576226234436,True,False,False,334.7030000000086,0.9974753324476401,421.0606226234522,,
production-M7-all5-SDP-CG-rep-01,M7-all5,SDP-CG,1,production,1800,verified,374630485814057/420000000000000,374630485814057,420000000000000,0.8919773471763262,14783,9665240,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-01\attempt-02\exact\1800-svd\certificate.json,128e0f05bf6cc3b0ed42a2178a3bf13cd338161f7c8743d33ec88cbbead352a8,6a2765f8d708519ba9563b60802799569ee39fae51149eacd3445463718eeb53,svd,112.46604061126709,True,False,False,1713.6870000000054,0.8919771930964203,1826.1530406112724,,
production-M7-all5-SDP-CG-rep-01,M7-all5,SDP-CG,1,production,3600,verified,16701450563937/28000000000000,16701450563937,28000000000000,0.5964803772834643,14836,9697497,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-01\attempt-02\exact\final-svd\certificate.json,bf9869dbc0a21dc2a0730f220ad1b9ade74fbf912d896c89e4a59a72e4da1f9d,cf52f47ef2a874ac5e91d5019a3d08ed3cf8a2def804ee62ecc092980ea7264c,svd,113.45370268821716,True,False,True,2745.609000000026,0.5964804677634677,2859.062702688243,,
production-M7-no5-LP-CUT-rep-01,M7-no5,LP-CUT,1,production,60,verified,2057275616211/3500000000000,2057275616211,3500000000000,0.5877930332031429,10,1180,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-03\exact\0060-svd\certificate.json,c8b3ce32388a6bfd6856535e32b7d572d1262f9099eacaa22ea926f7118e9dd6,54e30005fccf727b97b9f78898c963e4dc9ce4b19f335d71f3c3d4633bfcb029,svd,75.34619212150574,True,False,False,53.18699999997625,0.5877929854119661,128.533192121482,,
production-M7-no5-LP-CUT-rep-01,M7-no5,LP-CUT,1,production,300,verified,22702734283/40000000000,22702734283,40000000000,0.567568357075,64,7518,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-03\exact\0300-svd\certificate.json,68ccf78124e2bc4e6c13eddf2f6120190cffaf749e6bebc0defd94b2ea49fc96,83c7cb785df77308e5de2aa766d773c06c0b24f3daf0e48d7e48973820960279,svd,74.32736229896545,True,False,False,298.03100000001723,0.5675677566374023,372.3583622989827,,
production-M7-no5-LP-CUT-rep-01,M7-no5,LP-CUT,1,production,900,verified,2258874346859/4000000000000,2258874346859,4000000000000,0.56471858671475,84,11432,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-03\exact\0900-svd\certificate.json,36cce5c7b2161d90b24917ac25cb2a521295e8b00c577fdfda39afff7e7bfd35,1ac5be73c295d6113c6861d443ab639562a1a554772b7727fcb9a514706248f0,svd,74.31841206550598,True,False,False,762.625,0.5647183219969893,836.943412065506,,
production-M7-no5-LP-CUT-rep-01,M7-no5,LP-CUT,1,production,1800,verified,450349112691/800000000000,450349112691,800000000000,0.56293639086375,116,17259,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-03\exact\1800-svd\certificate.json,292db61ef8d81ae1b5fa7150e1345692b2d49014f153ecc047b3766a2ea93593,70d0dda4edaf12aca1eecf76aba5124919a132020147e091aa680f4d8f396521,svd,74.32918953895569,True,False,False,1735.2029999999795,0.5629361448429575,1809.5321895389352,,
production-M7-no5-LP-CUT-rep-01,M7-no5,LP-CUT,1,production,3600,verified,1123714205267/2000000000000,1123714205267,2000000000000,0.5618571026335,138,22370,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-03\exact\final-svd\certificate.json,8111e5c023c8a88890f0f02fdbf256e5cb6299736be686ccba3fbf5f6e5b9d73,f0b9724f8782fd59424a660bd759191d9d86d92341b77ffe9af0d7b7551b521e,svd,75.32346677780151,True,False,True,3402.140000000014,0.561856859459476,3477.4634667778155,,
production-M7-no5-SDP-CG-rep-01,M7-no5,SDP-CG,1,production,60,verified,997374709743/1000000000000,997374709743,1000000000000,0.997374709743,255,17751,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\0060-svd\certificate.json,f1093b44e4b3672c5f7bcb93a0167212fb7c0c610270c7c5f282a7ff0352e679,dd111ae24ba23bf6eafb81ad20337a2365f8345ac6c0cb8dcb5aa71d437a2e0c,svd,75.32253694534302,True,False,False,19.953000000008615,0.9973747650110438,95.27553694535163,,
production-M7-no5-SDP-CG-rep-01,M7-no5,SDP-CG,1,production,300,verified,997374709743/1000000000000,997374709743,1000000000000,0.997374709743,255,17751,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\0060-svd\certificate.json,f1093b44e4b3672c5f7bcb93a0167212fb7c0c610270c7c5f282a7ff0352e679,dd111ae24ba23bf6eafb81ad20337a2365f8345ac6c0cb8dcb5aa71d437a2e0c,svd,75.32253694534302,True,False,True,19.953000000008615,0.9973747650110438,95.27553694535163,,
